seg_idx,class,length_m,connector_count,speed_kph,graph_degree,betweenness,volume,voc,criticality_score,critical,pred_prob_critical,pred_critical
0,service,162.73750712490465,3,,0,0.0,0.0,0.0,,,0.18823357,0
1,service,82.09968305234302,2,,0,0.0,0.0,0.0,,,0.14267792,0
2,service,9.006886260279304,2,,1,0.0,0.0,0.0,,,0.16941552,0
3,service,85.28019483736918,3,,1,0.0,0.0,0.0,,,0.16941552,0
4,service,5.673405992714036,2,,1,0.0,0.0,0.0,,,0.16557631,0
5,service,72.59039825043827,2,,0,0.0,0.0,0.0,,,0.16570354,0
6,service,101.51950311125064,2,,1,0.0,0.0,0.0,,,0.14073679,0
7,service,51.96387013017291,2,,1,0.0,0.0,0.0,,,0.14073679,0
8,service,114.04333515299291,2,,0,0.0,0.0,0.0,,,0.13809504,0
9,service,103.82528103868324,2,,0,0.0,0.0,0.0,,,0.13912803,0
10,service,68.39644160352374,2,,0,0.0,0.0,0.0,,,0.14485353,0
11,service,53.65521409594693,2,,0,0.0,0.0,0.0,,,0.14773181,0
12,residential,245.73247337416183,7,,4,2.5335001984066422e-05,0.0,0.0,,,0.13430338,0
13,service,47.267583014294246,2,,0,0.0,0.0,0.0,,,0.14899041,0
14,residential,117.346644240403,4,,3,8.445000661355473e-06,0.0,0.0,,,0.13915324,0
15,service,95.00678787365418,2,,1,0.0,0.0,0.0,,,0.14074165,0
16,service,4.078613711191585,2,,1,0.0,0.0,0.0,,,0.14937502,0
17,service,159.1965387114817,3,,3,8.445000661355473e-06,0.0,0.0,,,0.14289947,0
18,service,69.56348774189735,2,,2,0.0,0.0,0.0,,,0.13983768,0
19,service,65.1064416627718,2,,0,0.0,0.0,0.0,,,0.14566684,0
20,service,67.28924619876459,2,,0,0.0,0.0,0.0,,,0.14507154,0
21,service,139.3966665997892,2,,0,0.0,0.0,0.0,,,0.13338894,0
22,residential,297.1907215656365,3,,2,0.0,0.0,0.0,,,0.09802479,0
23,service,68.96669855976323,2,,1,0.0,0.0,0.0,,,0.1296843,0
24,residential,190.05455266301988,2,,3,8.445000661355473e-06,0.0,0.0,,,0.112384655,0
25,residential,123.99418852508242,3,,2,0.0,0.0,0.0,,,0.12841298,0
26,residential,73.12175006255912,2,,2,0.0,0.0,0.0,,,0.13904168,0
27,service,46.03311954182966,2,,0,0.0,0.0,0.0,,,0.1494712,0
28,residential,470.0535684078448,5,,4,4.222500330677737e-05,0.0,0.0,,,0.12452317,0
29,service,55.912060740633954,2,,0,0.0,0.0,0.0,,,0.1693043,0
30,residential,567.3412520775231,5,,4,2.5335001984066422e-05,0.0,0.0,,,0.12945165,0
31,service,101.72107663323047,2,,0,0.0,0.0,0.0,,,0.13930929,0
32,service,86.90454054631127,2,,0,0.0,0.0,0.0,,,0.14145344,0
33,residential,31.49174935540806,2,,4,8.445000661355474e-05,0.0,0.0,,,0.11444314,0
34,residential,147.97794762719641,2,,4,6.756000529084378e-05,0.0,0.0,,,0.09752395,0
35,service,68.6225032194341,2,,0,0.0,0.0,0.0,,,0.14489873,0
36,tertiary,167.61648996773147,3,,4,0.00016890001322710947,0.0,0.0,,,0.116459124,0
37,residential,443.1793968250599,2,,4,0.00010948861517472393,0.0,0.0,,,0.11003002,0
38,tertiary,353.4710312246679,3,,4,0.002064243053223853,0.0,0.0,,,0.13647364,0
39,service,278.4093235652982,2,,0,0.0,0.0,0.0,,,0.11013458,0
40,service,533.5978361262737,4,,0,0.0,0.0,0.0,,,0.10417294,0
41,service,4.07960818561838,2,,1,0.0,0.0,0.0,,,0.20479767,0
