fold,target,model,MAE,RMSE,R2,baseline_MAE,baseline_RMSE,n_test
0,production,GNN_SAGE,2329.350341796875,4992.574886769351,-6.649301052093506,1346.8970947265625,2034.1354428847653,88
0,attraction,GNN_SAGE,2626.11474609375,4694.557487133372,-5.747890472412109,1356.3038330078125,2042.7786835582556,88
1,production,GNN_SAGE,2166.6220703125,4623.180723268343,-4.739399433135986,1171.9638671875,1930.2713539810925,184
1,attraction,GNN_SAGE,1647.4727783203125,2638.1309671811214,-1.192263126373291,1135.7222900390625,1784.5997450408872,184
2,production,GNN_SAGE,3874.3212890625,9388.512555245374,-10.282127380371094,2222.408447265625,3374.2683651422867,88
2,attraction,GNN_SAGE,4457.8037109375,15850.025615121258,-30.77293586730957,2234.437744140625,3395.5476730565865,88
3,production,GNN_SAGE,1540.40673828125,2495.6698499601266,-6.959736347198486,915.680908203125,1023.2316147871898,52
3,attraction,GNN_SAGE,1957.95361328125,5486.067079429488,-37.85622787475586,908.5639038085938,1016.6907408351864,52
4,production,GNN_SAGE,8679.3427734375,56876.79090806724,-548.7330322265625,2067.2890625,2991.722079338253,96
4,attraction,GNN_SAGE,7558.05078125,41713.6846610318,-291.8553161621094,2086.87841796875,3013.9855673178,96
