fold,target,model,MAE,RMSE,R2,n_test
0,production,OLS,572.83786227273,811.2762232767927,0.7980191471501819,88
0,production,Poisson,754.7168019297407,1157.356823482763,0.5889380683728294,88
0,attraction,OLS,582.0408538842049,817.2899558845119,0.7954822383086833,88
0,attraction,Poisson,754.1996520414658,1157.7062554079896,0.5896301292398818,88
1,production,OLS,3139.8900177086243,8516.72868158781,-18.477368511534188,184
1,production,Poisson,2243.9220664784843,6321.548011842076,-9.730786110380796,184
1,attraction,OLS,3220.3401248817927,8764.169868977042,-23.194769612648944,184
1,attraction,Poisson,2286.0025346792945,6352.729754788707,-11.712198905575375,184
2,production,OLS,1189.5708129048867,2116.123166327863,0.4268354193611087,88
2,production,Poisson,1194.592230501342,1989.017921924168,0.4936219708577847,88
2,attraction,OLS,1206.997161264043,2145.446222662093,0.4178529704862026,88
2,attraction,Poisson,1202.455437471047,2021.1422183009133,0.48335626501636264,88
3,production,OLS,580.5708805941931,1150.1210851661663,-0.6904858781815937,52
3,production,Poisson,675.1521049558152,827.7082069401332,0.12445405901358142,52
3,attraction,OLS,592.6954089539965,1171.8805936259407,-0.7729848605787195,52
3,attraction,Poisson,675.5180911344183,821.7256091535274,0.1282500192765672,52
4,production,OLS,1013.5563310767681,1501.986628150369,0.6166338108114519,96
4,production,Poisson,1145.6440896711651,1691.405147991644,0.5138425207907884,96
4,attraction,OLS,1039.779900647164,1535.4104121747223,0.6032243213767259,96
4,attraction,Poisson,1153.4338887587644,1736.517406450189,0.49247859661261384,96
